* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -25.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0424 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R + Sub 3
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
262.2071 74.903 68.09
262.5733 75.885 66.18
262.9395 76.642 63.76
263.3057 77.228 61.33
263.6719 77.701 59.10
264.0381 78.113 57.06
264.4043 78.487 55.06
264.7705 78.825 52.97
265.1367 79.112 50.76
265.5030 79.336 48.50
265.8692 79.500 46.34
266.2354 79.619 44.37
266.6016 79.715 42.60
266.9678 79.803 40.96
267.3340 79.884 39.33
267.7002 79.947 37.68
268.0664 79.981 36.04
268.4326 79.982 34.51
268.7988 79.960 33.20
269.1651 79.935 32.13
269.5313 79.922 31.24
269.8975 79.931 30.45
270.2637 79.956 29.64
270.6299 79.989 28.75
270.9961 80.018 27.78
271.3623 80.033 26.74
271.7285 80.026 25.67
272.0947 79.994 24.66
272.4610 79.939 23.76
272.8272 79.874 23.05
273.1934 79.814 22.50
273.5596 79.770 22.03
273.9258 79.738 21.51
274.2920 79.699 20.89
274.6582 79.636 20.22
275.0244 79.544 19.66
275.3906 79.438 19.36
275.7569 79.349 19.31
276.1231 79.299 19.36
276.4893 79.285 19.29
276.8555 79.277 18.98
277.2217 79.240 18.51
277.5879 79.163 18.11
277.9541 79.063 17.99
278.3203 78.976 18.21
278.6865 78.934 18.63
279.0528 78.937 19.03
279.4190 78.964 19.28
279.7852 78.992 19.44
280.1514 79.018 19.65
280.5176 79.063 19.97
280.8838 79.151 20.29
281.2500 79.281 20.37
281.6162 79.425 20.05
281.9824 79.540 19.32
282.3487 79.597 18.35
282.7149 79.587 17.40
283.0811 79.524 16.66
283.4473 79.432 16.23
283.8135 79.330 16.11
284.1797 79.232 16.31
284.5459 79.149 16.82
284.9121 79.100 17.64
285.2783 79.109 18.70
285.6446 79.188 19.82
286.0108 79.334 20.79
286.3770 79.525 21.51
286.7432 79.745 22.01
287.1094 79.992 22.33
287.4756 80.279 22.45
287.8418 80.615 22.21
288.2080 80.983 21.41
288.5742 81.347 19.88
288.9405 81.657 17.66
289.3067 81.875 14.94
289.6729 81.981 12.00
290.0391 81.975 9.11
290.4053 81.876 6.53
290.7715 81.714 4.40
291.1377 81.519 2.77
291.5039 81.321 1.63
291.8701 81.144 0.87
292.2364 81.003 0.39
292.6026 80.903 0.03
292.9688 80.842 -0.33
293.3350 80.807 -0.79
293.7012 80.786 -1.38
294.0674 80.769 -2.07
294.4336 80.752 -2.84
294.7998 80.731 -3.69
295.1660 80.704 -4.62
295.5323 80.663 -5.62
295.8985 80.600 -6.62
296.2647 80.511 -7.55
296.6309 80.405 -8.30
296.9971 80.297 -8.82
297.3633 80.204 -9.13
297.7295 80.136 -9.30
298.0957 80.095 -9.42
298.4619 80.080 -9.52
298.8281 80.091 -9.62
299.1944 80.137 -9.78
299.5606 80.219 -10.12
299.9268 80.325 -10.77
300.2930 80.431 -11.82
300.6592 80.510 -13.20
301.0254 80.545 -14.79
301.3916 80.538 -16.40
301.7578 80.507 -17.94
302.1240 80.471 -19.43
302.4903 80.440 -20.95
302.8565 80.407 -22.61
303.2227 80.357 -24.41
303.5889 80.277 -26.26
303.9551 80.171 -28.04
304.3213 80.056 -29.67
304.6875 79.953 -31.17
305.0537 79.876 -32.63
305.4199 79.825 -34.20
305.7862 79.789 -35.97
306.1524 79.758 -37.96
306.5186 79.724 -40.19
306.8848 79.682 -42.70
307.2510 79.624 -45.52
307.6172 79.534 -48.73
307.9834 79.388 -52.31
308.3496 79.164 -56.19
308.7158 78.844 -60.22
309.0821 78.422 -64.20
309.4483 77.911 -67.94
309.8145 77.334 -71.28
310.1807 76.729 -74.15
310.5469 76.136 -76.63
310.9131 75.589 -78.93
311.2793 75.102 -81.34
311.6455 74.669 -84.18
312.0117 74.268 -87.69
312.3780 73.872 -92.03
312.7442 73.459 -97.29
313.1104 73.010 -103.56
313.4766 72.510 -110.90
313.8428 71.949 -119.35
314.2090 71.328 -128.90
314.5752 70.666 -139.41
314.9414 70.008 -150.66
315.3076 69.428 -162.28
315.6739 69.019 -173.83
316.0401 68.870 175.08
316.4063 69.028 164.65
316.7725 69.472 154.85
317.1387 70.124 145.54
317.5049 70.878 136.61
317.8711 71.642 128.12
318.2373 72.358 120.17
318.6035 73.005 112.86
318.9698 73.588 106.24
319.3360 74.121 100.19
319.7022 74.614 94.53
320.0684 75.057 89.06
320.4346 75.428 83.65
320.8008 75.694 78.32
321.1670 75.834 73.22
321.5332 75.841 68.60
321.8994 75.728 64.75
322.2657 75.533 61.94
322.6319 75.313 60.33
322.9981 75.139 59.89
323.3643 75.074 60.41
